iter	Passed	Remaining
0	0	80
1	1	79
2	2	77
3	3	72
4	3	72
5	4	70
6	5	69
7	6	69
8	6	68
9	7	67
10	8	67
11	9	66
12	9	66
13	11	68
14	12	68
15	13	68
16	13	68
17	14	67
18	15	66
19	16	65
20	17	64
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	30	48
39	31	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	34
53	39	34
54	40	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
